Rk,Coach,W,School
,Frank Kimbrough,87,Baylor Hardin-Simmons North Carolina Pre-Flight West Texas A&M
,Rick Neuheisel,87,Colorado UCLA Washington
213,Larry Blakeney,86,Troy
,Frank Cavanaugh,86,Boston College Dartmouth Fordham Holy Cross
,Jimmy Crowley,86,Fordham Michigan State North Carolina Pre-Flight
,Arthur Guepe,86,Vanderbilt Virginia
,Andy Smith,86,California Purdue
218,Emory Bellard,85,Mississippi State Texas A&M
,Al Groh,85,Virginia Wake Forest
,Doc Holliday,85,Marshall
221,Gary Barnett,84,Colorado Northwestern
,James Franklin*,84,Penn State Vanderbilt
,Butch Jones*,84,Arkansas State Central Michigan Cincinnati Tennessee
,Jack Meagher,84,Auburn Iowa Pre-Flight Rice
,Jack Mollenkopf,84,Purdue
,Thomas Nugent,84,Florida State Maryland Virginia Military Institute
227,Bill Curry,83,Alabama Georgia Tech Kentucky
,Ray Eliot,83,Illinois
,Morley Jennings,83,Baylor
,Bernie Moore,83,LSU
,John Smith,83,Arkansas Louisville Michigan State Utah State
232,Terry Bowden*,82,Akron Auburn Louisiana-Monroe
,Larry Coker,82,Miami (FL) UTSA
,Spike Dykes,82,Texas Tech
,Brady Hoke*,82,Ball State Michigan San Diego State Tennessee
,George Munger,82,Pennsylvania
,Dick Sheridan,82,Furman North Carolina State
238,Jimmy Johnson,81,Miami (FL) Oklahoma State
,Billy Murphy,81,Memphis
,Chuck Shelton,81,Drake Pacific Utah State
,Mike White,81,California Illinois
242,Bill Hess,80,Ohio
,Charley Moran,80,Centre Texas A&M
,Tommy West,80,Clemson Memphis
245,Larry Fedora,79,North Carolina Southern Mississippi
,Harvey Harman,79,Pennsylvania Rutgers
,Bob Pruett,79,Marshall
248,Frank Burns,78,Rutgers
,Dave Doeren*,78,North Carolina State Northern Illinois
,Jim Harbaugh*,78,Michigan Stanford
,Dan McCarney,78,Iowa State North Texas
,Bill Meek,78,Houston Kansas State SMU Utah
,Harry Stuhldreher,78,Villanova Wisconsin
,Bob Toledo,78,Pacific Tulane UCLA
,John Wilce,78,Ohio State
,John Yovicsin,78,Harvard
